circuit_width,circuit_depth,u1,u2,u3,cx,hamming_weight,25_observed_state_prob,50_observed_state_prob,75_observed_state_prob,25_frc_state_error,50_frc_state_error,75_frc_state_error,25_frc_program_error,50_frc_program_error,75_frc_program_error,true_probability,state_name
5,3,5,2,0,4,0,19.0,21.5,25.0,64.0,66.49999999999999,69.0,64.00000000000001,66.5,69.0,25.0,00000
5,3,5,2,0,4,1,19.0,20.0,23.0,8.0,10.0,13.0,64.00000000000001,66.5,69.0,22.0,00001
5,3,5,2,0,4,1,1.0,2.0,3.0,2.0,3.0,5.0,64.00000000000001,66.5,69.0,0.0,00010
5,3,5,2,0,4,2,1.0,2.0,3.0,0.0,1.0,2.0,64.00000000000001,66.5,69.0,0.0,00011
5,3,5,2,0,4,1,17.0,20.0,23.0,28.999999999999996,32.0,36.0,64.00000000000001,66.5,69.0,26.0,00100
5,3,5,2,0,4,2,16.0,19.0,22.0,4.0,6.0,7.000000000000001,64.00000000000001,66.5,69.0,27.0,00101
5,3,5,2,0,4,2,1.0,2.0,3.0,2.0,3.0,5.0,64.00000000000001,66.5,69.0,0.0,00110
5,3,5,2,0,4,3,1.0,2.0,3.0,0.0,0.0,1.0,64.00000000000001,66.5,69.0,0.0,00111
5,3,5,2,0,4,1,1.0,2.0,3.0,1.0,2.0,3.0,64.00000000000001,66.5,69.0,0.0,01000
5,3,5,2,0,4,2,1.0,2.0,3.0,0.0,0.0,1.0,64.00000000000001,66.5,69.0,0.0,01001
5,3,5,2,0,4,2,0.0,0.0,0.0,0.0,0.0,1.0,64.00000000000001,66.5,69.0,0.0,01010
5,3,5,2,0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,64.00000000000001,66.5,69.0,0.0,01011
5,3,5,2,0,4,2,1.0,2.0,2.0,1.0,2.0,3.0,64.00000000000001,66.5,69.0,0.0,01100
5,3,5,2,0,4,3,1.0,2.0,3.0,0.0,0.0,0.25,64.00000000000001,66.5,69.0,0.0,01101
5,3,5,2,0,4,3,0.0,0.0,0.0,0.0,0.0,1.0,64.00000000000001,66.5,69.0,0.0,01110
5,3,5,2,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,64.00000000000001,66.5,69.0,0.0,01111
5,3,5,2,0,4,1,0.0,0.0,1.0,0.0,1.0,2.0,64.00000000000001,66.5,69.0,0.0,10000
5,3,5,2,0,4,2,0.0,0.0,1.0,0.0,0.0,1.0,64.00000000000001,66.5,69.0,0.0,10001
5,3,5,2,0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,64.00000000000001,66.5,69.0,0.0,10010
5,3,5,2,0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,64.00000000000001,66.5,69.0,0.0,10011
5,3,5,2,0,4,2,0.0,0.0,1.0,0.0,1.0,1.0,64.00000000000001,66.5,69.0,0.0,10100
5,3,5,2,0,4,3,0.0,0.0,1.0,0.0,0.0,0.0,64.00000000000001,66.5,69.0,0.0,10101
5,3,5,2,0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,64.00000000000001,66.5,69.0,0.0,10110
5,3,5,2,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,64.00000000000001,66.5,69.0,0.0,10111
5,3,5,2,0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,64.00000000000001,66.5,69.0,0.0,11000
5,3,5,2,0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,64.00000000000001,66.5,69.0,0.0,11001
5,3,5,2,0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,64.00000000000001,66.5,69.0,0.0,11010
5,3,5,2,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,64.00000000000001,66.5,69.0,0.0,11011
5,3,5,2,0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,64.00000000000001,66.5,69.0,0.0,11100
5,3,5,2,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,64.00000000000001,66.5,69.0,0.0,11101
5,3,5,2,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,64.00000000000001,66.5,69.0,0.0,11110
5,3,5,2,0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,64.00000000000001,66.5,69.0,0.0,11111
2,5,2,2,0,3,0,23.0,25.5,28.000000000000004,73.0,76.0,78.0,73.0,76.0,78.0,22.0,00
2,5,2,2,0,3,1,21.75,24.5,28.000000000000004,16.0,19.0,21.0,73.0,76.0,78.0,27.0,01
2,5,2,2,0,3,1,22.0,25.0,28.000000000000004,9.75,12.0,14.000000000000002,73.0,76.0,78.0,26.0,10
2,5,2,2,0,3,2,21.0,24.0,26.25,41.75,44.0,48.0,73.0,76.0,78.0,25.0,11
